id,name,assign_on_pr,filter_domain_pr,assign_on_pa,filter_domain_pa,assign_on_po,filter_domain_po
pr_rule_89330,PR สำนักงานกิจการนักศึกษาและศิษย์เก่าสัมพันธ์,True,"[('department_id.code', 'in', ['89330'])]",,,,
pr_rule_89340,PR สำนักงานบริหารยุทธศาสตร์,True,"[('department_id.code', 'in', ['89340'])]",,,,
pr_rule_89350,PR สำนักงานนิติการ,True,"[('department_id.code', 'in', ['89350'])]",,,,
pr_rule_89360,PR สำนักงานบริหารงานทั่วไปและกิจการพิเศษ,True,"[('department_id.code', 'in', ['89360'])]",,,,
pr_rule_89370,PR สำนักงานบริหารทรัพยากรบุคคล,True,"[('department_id.code', 'in', ['89370'])]",,,,
pr_rule_89380,PR สำนักงานคลัง,True,"[('department_id.code', 'in', ['89380'])]",,,,
pr_rule_89390,PR สำนักงานบริหารทรัพยากรกายภาพและสิ่งแวดล้อม,True,"[('department_id.code', 'in', ['89390'])]",,,,
pr_rule_89400,PR สำนักงานพัสดุ,True,"[('department_id.code', 'in', ['89400'])]",,,,
pr_rule_89410,PR สำนักงานบริหารทรัพย์สิน,True,"[('department_id.code', 'in', ['89410'])]",,,,
pr_rule_89420,PR โรงเรียนสาธิตนานาชาติ สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,True,"[('department_id.code', 'in', ['89420'])]",,,,
pr_rule_89430,PR สถาบันโคเซ็นแห่งสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,True,"[('department_id.code', 'in', ['89430'])]",,,,
pr_rule_89430-True,PR สาขาวิชาวิศวกรรมแมคคาทรอนิกส์,True,"[('department_id.code', 'in', ['89430-True'])]",,,,
pr_rule_89430-2,PR สาขาวิชาวิศวกรรมคอมพิวเตอร์,True,"[('department_id.code', 'in', ['89430-2'])]",,,,
pr_rule_89430-3,PR สาขาวิชาวิศกรรมไฟฟ้าและอิเล็กทรอนิกส์,True,"[('department_id.code', 'in', ['89430-3'])]",,,,
pr_rule_89430-4,PR สาขาวิชาวิศวกรรมนวัตกรรมชั้นสูง (ต่อเนื่อง),True,"[('department_id.code', 'in', ['89430-4'])]",,,,
pr_rule_89430-5,PR สาขาวิชาคณิตศาสตร์และวิทยาศาสตร์,True,"[('department_id.code', 'in', ['89430-5'])]",,,,
pr_rule_89430-6,PR สาขาวิชาศึกษาทั่วไป,True,"[('department_id.code', 'in', ['89430-6'])]",,,,
pr_rule_89430-7,PR ศูนย์บริการวิชาการ KOSEN-KMITL,True,"[('department_id.code', 'in', ['89430-7'])]",,,,
pr_rule_89430-8,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['89430-8'])]",,,,
pr_rule_89440,PR สำนักงานบริหารวารสารวิชาการ,True,"[('department_id.code', 'in', ['89440'])]",,,,
pr_rule_89450,PR สำนักงานสื่อสารองค์กร,True,"[('department_id.code', 'in', ['89450'])]",,,,
pr_rule_99,PR สำนักบริหารงานวิจัยและนวัตกรรมพระจอมเกล้าลาดกระบัง,True,"[('department_id.code', 'in', ['99'])]",,,,
pr_rule_99040,PR งานบริการวิชาการ,True,"[('department_id.code', 'in', ['99040'])]",,,,
pr_rule_99060,PR งานบริหารงานวิจัย,True,"[('department_id.code', 'in', ['99060'])]",,,,
pr_rule_99070,PR งานจัดการทรัพย์สินทางปัญญา,True,"[('department_id.code', 'in', ['99070'])]",,,,
pr_rule_99080,PR งานส่งเสริมและสนับสนุนนโยบายภาครัฐและเอกชนเชิงรุก,True,"[('department_id.code', 'in', ['99080'])]",,,,
pa_rule_01,PA คณะวิศวกรรมศาสตร์,,,True,"[('requesting_department_id.code', 'in', ['01'])]",,
pa_rule_01030,PA ภาควิชาวิศวกรรมเกษตร,,,True,"[('requesting_department_id.code', 'in', ['01030'])]",,
pa_rule_01040,PA ภาควิชาวิศวกรรมคอมพิวเตอร์,,,True,"[('requesting_department_id.code', 'in', ['01040'])]",,
pa_rule_01050,PA ภาควิชาวิศวกรรมเคมี,,,True,"[('requesting_department_id.code', 'in', ['01050'])]",,
pa_rule_01060,PA ภาควิชาวิศวกรรมเครื่องกล,,,True,"[('requesting_department_id.code', 'in', ['01060'])]",,
pa_rule_01070,PA ภาควิชาวิศวกรรมโทรคมนาคม,,,True,"[('requesting_department_id.code', 'in', ['01070'])]",,
pa_rule_01080,PA ภาควิชาวิศวกรรมไฟฟ้า,,,True,"[('requesting_department_id.code', 'in', ['01080'])]",,
pa_rule_01090,PA ภาควิชาวิศวกรรมโยธา,,,True,"[('requesting_department_id.code', 'in', ['01090'])]",,
pa_rule_01120,PA ภาควิชาวิศวกรรมอาหาร,,,True,"[('requesting_department_id.code', 'in', ['01120'])]",,
pa_rule_01130,PA ภาควิชาวิศวกรรมอิเล็กทรอนิกส์,,,True,"[('requesting_department_id.code', 'in', ['01130'])]",,
