"name","code","parent_id"
ส่วนสนับสนุนวิชาการ,"41010",คณะศิลปศาสตร์
ภาควิชาภาษา,"41020",คณะศิลปศาสตร์
ภาควิชามนุษยศาสตร์และสังคมศาสตร์,"41030",คณะศิลปศาสตร์
ศูนย์ภาษาพระจอมเกล้าลาดกระบัง,"41040",คณะศิลปศาสตร์
วิทยาลัยวิศวกรรมสังคีต,"42",
ส่วนสนับสนุนวิชาการ,"42010",วิทยาลัยวิศวกรรมสังคีต
สาขาวิชาวิศวกรรมดนตรีและสื่อประสม,"42020",วิทยาลัยวิศวกรรมสังคีต
สาขาวิชาวิศวกรรมเสียงและการออกแบบ,"42030",วิทยาลัยวิศวกรรมสังคีต
ศูนย์วิจัยและพัฒนานวัตกรรม,"42040",วิทยาลัยวิศวกรรมสังคีต
สำนักวิจัยนวัตกรรมเมืองอัจฉริยะ,"43",
โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,"44",
ส่วนบริหารงานทั่วไป,"44010",โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร
ฝ่ายบริการทางการแพทย์,"44020",โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร
คณะทันตแพทยศาสตร์,"45",
ส่วนสนับสนุนวิชาการ,"45010",คณะทันตแพทยศาสตร์
สาขาวิชาทันตแพทยศาสตร์,"45020",คณะทันตแพทยศาสตร์
ศูนย์วิจัยและนวัตกรรมทางทันตแพทย์,"45030",คณะทันตแพทยศาสตร์
ศูนย์บริการทางทันตกรรม,"45040",คณะทันตแพทยศาสตร์
42 บางกอก,"46",
คณะพยาบาลศาสตร์,"47",
ส่วนสนับสนุนวิชาการ,"47010",คณะพยาบาลศาสตร์
สาขาวิชาพยาบาลศาสตร์,"47020",คณะพยาบาลศาสตร์
คณะเทคโนโลยีนวัตกรรมบูรณาการ,"48",
ภาควิชาเทคโนโลยีระบบการผลิต,"48010",คณะเทคโนโลยีนวัตกรรมบูรณาการ
ภาควิชานาโนวิทยาและนาโนเทคโนโลยี,"48020",คณะเทคโนโลยีนวัตกรรมบูรณาการ
ส่วนสนับสนุนวิชาการ,"48060",คณะเทคโนโลยีนวัตกรรมบูรณาการ
สำนักงานอธิการบดี,"89",
สำนักงานบริหารวิชาการและคุณภาพการศึกษา,"89310",สำนักงานอธิการบดี
สำนักงานกิจการต่างประเทศ,"89320",สำนักงานอธิการบดี
สำนักงานกิจการนักศึกษาและศิษย์เก่าสัมพันธ์,"89330",สำนักงานอธิการบดี
สำนักงานบริหารยุทธศาสตร์,"89340",สำนักงานอธิการบดี
สำนักงานนิติการ,"89350",สำนักงานอธิการบดี
สำนักงานบริหารงานทั่วไปและกิจการพิเศษ,"89360",สำนักงานอธิการบดี
สำนักงานบริหารทรัพยากรบุคคล,"89370",สำนักงานอธิการบดี
สำนักงานคลัง,"89380",สำนักงานอธิการบดี
สำนักงานบริหารทรัพยากรกายภาพและสิ่งแวดล้อม,"89390",สำนักงานอธิการบดี
สำนักงานพัสดุ,"89400",สำนักงานอธิการบดี
สำนักงานบริหารทรัพย์สิน,"89410",สำนักงานอธิการบดี
สำนักงานบริหารทรัพย์สิน,"89410",
โรงเรียนสาธิตนานาชาติ สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,"89420",
สถาบันโคเซ็นแห่งสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,"89430",
สาขาวิชาวิศวกรรมแมคคาทรอนิกส์,"89430-1",สถาบันโคเซ็นแห่งสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง
สาขาวิชาวิศวกรรมคอมพิวเตอร์,"89430-2",สถาบันโคเซ็นแห่งสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง
สาขาวิชาวิศกรรมไฟฟ้าและอิเล็กทรอนิกส์,"89430-3",สถาบันโคเซ็นแห่งสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง
สาขาวิชาวิศวกรรมนวัตกรรมชั้นสูง (ต่อเนื่อง),"89430-4",สถาบันโคเซ็นแห่งสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง
สาขาวิชาคณิตศาสตร์และวิทยาศาสตร์,"89430-5",สถาบันโคเซ็นแห่งสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง
สาขาวิชาศึกษาทั่วไป,"89430-6",สถาบันโคเซ็นแห่งสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง
ศูนย์บริการวิชาการ KOSEN-KMITL,"89430-7",สถาบันโคเซ็นแห่งสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง
ส่วนสนับสนุนวิชาการ,"89430-8",สถาบันโคเซ็นแห่งสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง
สำนักงานบริหารวารสารวิชาการ,"89440",สำนักงานอธิการบดี
สำนักงานสื่อสารองค์กร,"89450",สำนักงานอธิการบดี
สำนักบริหารงานวิจัยและนวัตกรรมพระจอมเกล้าลาดกระบัง,"99",
งานบริการวิชาการ,"99040",สำนักบริหารงานวิจัยและนวัตกรรมพระจอมเกล้าลาดกระบัง
งานบริหารงานวิจัย,"99060",สำนักบริหารงานวิจัยและนวัตกรรมพระจอมเกล้าลาดกระบัง
งานจัดการทรัพย์สินทางปัญญา,"99070",สำนักบริหารงานวิจัยและนวัตกรรมพระจอมเกล้าลาดกระบัง
งานส่งเสริมและสนับสนุนนโยบายภาครัฐและเอกชนเชิงรุก,"99080",สำนักบริหารงานวิจัยและนวัตกรรมพระจอมเกล้าลาดกระบัง
คณะเทคโนโลยีนวัตกรรมบูรณาการ / ส่วนสนับสนุนวิชาการ,,
ศูนย์ความเป็นเลิศด้านการฝึกอบรมวิทยาศาสตร์พระจอมเกล้าลาดกระบัง,,คณะวิทยาศาสตร์
ศูนย์วิเคราะห์ข้อมูลดิจิทัลอัจฉริยะพระจอมเกล้าลาดกระบัง,,คณะวิทยาศาสตร์
สถาบันวิจัยเกษตรอินทรีย์ยุคใหม่ สจล.,,สำนักบริหารงานวิจัยและนวัตกรรมพระจอมเกล้าลาดกระบัง
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,,
สาขาวิชาวิศกรรมแมคคาทรกนิกส์,,สถาบันโคเซ็นแห่งสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง
สำนักงานสภาคณาจารย์และพนักงาน,,
ส่วนบริหารงานทั่วไป,,โรงเรียนสาธิตนานาชาติ สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง
ส่วนบริหารงานทั่วไป,,"42" บางกอก
ส่วนวิชาการ,,โรงเรียนสาธิตนานาชาติ สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง
ส่วนวิชาการ,,"42" บางกอก
ส่วนวิชาการ,,สำนักวิชาศึกษาทั่วไป
ส่วนสนับสนุนวิชาการ,,สำนักวิชาศึกษาทั่วไป
ส่วนสนับสนุนวิชาการ,,วิทยาลัยการจัดการนวัตกรรมและอุตสาหกรรม
