id,code,name,plan_id/id,parent_id/id,line_seq
"activity_09006060164","09006060164",กิจกรรมรอง พัฒนาทรัพยากรบุคคลตามโครงการยกระดับคุณภาพหลักสูตรตามนโยบายกระทรวงศึกษาธิการ สำหรับสาขาอุตสาหกรรมเป้าหมายเร่งด่วนของประเทศ(อาชีวะพรีเมี่ยม),analytic_plan_activities,activity_090060601,
"activity_090060602","090060602",กิจกรรมหลัก งานสร้างกำลังคนที่มีสมรรถนะสูง สำหรับอุตสาหกรรม New Growth Engine ตามนโยบาย Thailand 4.0,analytic_plan_activities,activity_09006,
"activity_09006060265","09006060265",กิจกรรมรอง สร้างกำลังคนที่มีสมรรถนะสูง สำหรับอุตสาหกรรมNew Growth Engine ตามนโยบาย Thailand 4.0 (บัณฑิตพันธ์ใหม่),analytic_plan_activities,activity_090060602,
"activity_090060603","090060603",กิจกรรมหลัก งานพัฒนากำลังคนด้านวิศวกรรมศาสตร์เทคโนโลยีและนวัตกรรม,analytic_plan_activities,activity_09006,
"activity_09006060366","09006060366",กิจกรรมรอง พัฒนาผู้มีความสามารถพิเศษด้านวิทยาศาสตร์และคณิตศาสตร์ (โคเซ็น),analytic_plan_activities,activity_090060603,
"activity_090060604","090060604",กิจกรรมหลัก งานวิจัยและพัฒนานวัตกรรม,analytic_plan_activities,activity_09006,
"activity_09006060467","09006060467",กิจกรรมรอง สถานีอัดประจุยานพาหนะไฟฟ้าแบบเคลื่อนย้ายได้โดยใช้พลังงานแสงอาทิตย์,analytic_plan_activities,activity_090060604,
"activity_09006060468","09006060468",กิจกรรมรอง ความเป็นเลิศด้านวิจัยและพัฒนาเทคโนโลยีและนวัตกรรมจากวัสดุอนุพันธ์กราฟี นขั้นแนวหน้าสำหรับอุตสาหกรรมสมัยใหม่,analytic_plan_activities,activity_090060604,
"activity_09006060469","09006060469",กิจกรรมรอง เพิ่มผลผลิตข้าวโพดเลี้ยงสัตว์และมูลค่าวัสดุเหลือใช้ทางการเกษตรในอุตสาหกรรมอาหารสัตว์,analytic_plan_activities,activity_090060604,
"activity_09006060470","09006060470",กิจกรรมรอง การใช้ประโยชน์ของวัตถุดิบพื้นถิ่นอย่างคุ้มค่าและต่อยอดพัฒนาเศรษฐกิจฐานรากของชุมชน,analytic_plan_activities,activity_090060604,
"activity_090060605","090060605",กิจกรรมหลัก งานพัฒนาทักษะกำลังคนของประเทศ,analytic_plan_activities,activity_09006,
"activity_09006060571","09006060571",กิจกรรมรอง เรียนรู้ตลอดชีวิตและพัฒนาทักษะเพื่ออนาคต (Upskill/Reskill),analytic_plan_activities,activity_090060605,
"activity_09006060572","09006060572",กิจกรรมรอง ยุวชนอาสา,analytic_plan_activities,activity_090060605,
